#Mapping file for Large PMT in CD
#Updated by Yuning Su (suyn26 AT mail2.sysu.edu.cn) in 20250123.
#Have installed 17596 CD-LPMT, more detail in https://docs.ihep.ac.cn/link/AR573CA85D4A004CE8B5AC50662739AB3F
#CopyNo, LargeOrSmall(0=Large 1=Small), NorthOrSouth(0=North 1=South), CircleNo, PositionNo, UpOrDown(0=Up 1=Down), PMTType(1=H 2=NVVT_1 3=NVVT_2 4=S), GCU, Channel(0-2), X, Y, Z, Theta, Phi
266,0,0,54,24,0,2,3728,2,3987.444,-3130.56,18761.14,15.121,-38.1356
267,0,0,54,25,0,2,3672,2,4297.612,-2688.98,18761.14,15.121,-32.0339
268,0,0,54,26,0,2,3672,1,4559.086,-2216.94,18761.14,15.121,-25.9322
269,0,0,54,27,0,2,3672,0,4768.904,-1719.78,18761.14,15.121,-19.8305
270,0,0,54,28,0,1,4249,0,4924.689,-1203.13,18761.14,15.121,-13.7288
271,0,0,54,29,0,2,4249,1,5024.675,-672.855,18761.14,15.121,-7.6271
272,0,0,54,30,0,1,4249,2,5067.729,-134.953,18761.14,15.121,-1.5254
273,0,0,54,31,0,2,5266,2,5053.364,404.4776,18761.14,15.121,4.5763
274,0,0,54,32,0,1,5266,1,4981.743,939.326,18761.14,15.121,10.678
275,0,0,54,33,0,2,5266,0,4853.676,1463.531,18761.14,15.121,16.7797
276,0,0,54,34,0,1,3567,0,4670.615,1971.154,18761.14,15.121,22.8814
277,0,0,54,35,0,2,3567,1,4434.634,2456.443,18761.14,15.121,28.983
